,Kilometraje,Precio,Anho,Transmisión,Vehículo,Región,Ciudad,Combustible,Puertas,Color Exterior,Pasajeros,Litros (motor),Consumo de combustible (combinado),Cilindros
100,65.000 kms,$ 9.900.000,2013,automático,2013 Subaru XV 2.0i CVT 4WD,Metropolitana de Santiago,Santiago,Bencina,5,blanco perla,5,2.0,"15,2 km/l",4
101,72.500 kms,$ 9.000.000,2013,manual,2013 Subaru XV NEW XV 2.OI AWD MT,OHiggins,Rancagua,Bencina,5,BLANCO SARTI,,, km/l,
102,118.000 kms,$ 9.200.000,2013,manual,2013 Subaru XV 2.0i 4WD,Valparaíso,Santo Domingo,Bencina,5,,5,2.0,"14,5 km/l",4
103,36.000 kms,$ 12.290.000,2014,automático,2014 Subaru XV 2.0i CVT Limited 4WD,Metropolitana de Santiago,Santiago,Bencina,5,azul,5,2.0,"15,2 km/l",4
104,64.000 kms,$ 11.100.000,2015,automático,2015 Subaru XV 2.0i CVT Limited 4WD,Valparaíso,Valparaiso,Bencina,5,,5,2.0,"13,5 km/l",4
105,84.516 kms,$ 10.490.000,2015,manual,2015 Subaru XV 1.6i 4WD,Coquimbo,La Serena,Bencina,5,Gris Oscuro,5,1.6,"15,9 km/l",4
106,62.000 kms,$ 9.200.000,2014,automático,2014 Subaru XV 2.0i CVT 4WD,Metropolitana de Santiago,Santiago,Bencina,5,,5,2.0,"15,2 km/l",4
107,46.000 kms,$ 10.990.000,2015,manual,2015 Subaru XV AWD 2.0I AUT,Bío Bío,Concepcion,Bencina,5,ROJO VENECIA PERLADO,,, km/l,
108,35.000 kms,$ 12.980.000,2016,automático,2016 Subaru XV 2.0i CVT Limited 4WD,Valparaíso,Viña del Mar,Bencina,5,blanco glaciar,5,2.0,"13,5 km/l",4
109,65.000 kms,$ 9.590.000,2014,automático,2014 Subaru XV 2.0i 4WD,Metropolitana de Santiago,Santiago,Bencina,5,BLANCO,,, km/l,
110,50.000 kms,$ 11.680.000,2015,automático,2015 Subaru XV 2.0i CVT Limited 4WD,Metropolitana de Santiago,Santiago,Bencina,5,PLATA,5,2.0,"13,5 km/l",4
111,,$ 7.480.000,2012,automático,2012 Subaru XV 2.0i CVT AWD,Metropolitana de Santiago,Santiago,Bencina,5,Plata,5,2.0,"15,2 km/l",4
112,36.000 kms,$ 12.990.000,2015,automático,2015 Subaru XV XV LIMITED 2.0 AWD,Metropolitana de Santiago,Santiago,Bencina,5,BLANCO,,, km/l,
113,62.000 kms,$ 13.250.000,2016,automático,2016 Subaru XV 2.0i CVT Limited 4WD,Metropolitana de Santiago,Padre Hurtado,Bencina,5,AZUL CUARZO PERLADO,,, km/l,
114,13.000 kms,$ 14.700.000,2017,automático,2017 Subaru XV 2.0i CVT Auto Dynamic Active 4WD,Metropolitana de Santiago,Santiago,Bencina,5,,,, km/l,
115,56.000 kms,$ 9.690.000,2014,manual,2014 Subaru XV 2.0i 4WD,Metropolitana de Santiago,Santiago,Bencina,5,,5,2.0,"14,5 km/l",4
116,39.500 kms,$ 10.490.000,2014,automático,2014 Subaru XV 2.0i 4WD,Metropolitana de Santiago,Santiago,Bencina,5,Grafito,,, km/l,
117,77.141 kms,$ 9.690.000,2015,manual,2015 Subaru XV AWD 1.6,Metropolitana de Santiago,Santiago,Bencina,5,GRIS,,, km/l,
118,87.000 kms,$ 8.990.000,2015,manual,2015 Subaru XV 2.0 MT AWD DINAMIC,Metropolitana de Santiago,Santiago,Bencina,5,VERDE,,, km/l,
119,51.500 kms,$ 13.390.000,2015,manual,2015 Subaru XV 2.0i 4WD,Araucanía,Temuco,Bencina,5,Gris grafito,5,2.0,"13,2 km/l",4
120,33.000 kms,$ 10.700.000,2015,manual,2015 Subaru XV 2.0i 4WD,Valparaíso,Los Andes,Bencina,5,,5,2.0,"13,2 km/l",4
121,94.000 kms,$ 8.580.000,2012,automático,2012 Subaru XV 2.0i CVT Limited 4WD,Metropolitana de Santiago,Santiago,Bencina,5,Naranjo,5,2.0,"15,2 km/l",4
122,46.000 kms,$ 13.880.000,2016,automático,2016 Subaru XV 2.0i CVT Limited 4WD,Metropolitana de Santiago,Santiago,Bencina,5,Gris Oscuro,5,2.0,"13,5 km/l",4
123,85.000 kms,$ 8.980.000,2013,automático,2013 Subaru XV 2.0i CVT Limited 4WD,Metropolitana de Santiago,Santiago,Bencina,5,,,, km/l,
124,77.000 kms,$ 9.690.000,2012,automático,2012 Subaru XV 2.0i CVT Limited AWD,Metropolitana de Santiago,Santiago,Bencina,5,,,, km/l,
125,36.000 kms,$ 11.360.000,2015,automático,2015 Subaru XV 2.0i CVT Limited 4WD,Metropolitana de Santiago,Santiago,Bencina,5,Rojo Venecia,5,2.0,"13,5 km/l",4
126,91.000 kms,$ 7.900.000,2012,manual,2012 Subaru XV 2.0i AWD,Metropolitana de Santiago,Santiago,Bencina,5,Naranjo,5,2.0,"14,5 km/l",4
127,60.000 kms,$ 10.990.000,2015,manual,2015 Subaru XV 1.6i 4WD,Coquimbo,Coquimbo,Bencina,5,verde,5,1.6,"15,9 km/l",4
128,71.000 kms,$ 9.600.000,2013,automático,2013 Subaru XV 2.0i CVT 4WD,Metropolitana de Santiago,Santiago,Bencina,5,Negro,5,2.0,"15,2 km/l",4
129,66.000 kms,$ 11.800.000,2016,manual,2016 Subaru XV 1.6i AWD,Valparaíso,Concón,Bencina,5,Verde,,, km/l,
130,68.000 kms,$ 9.490.000,2013,automático,2013 Subaru XV 2.0i CVT Limited 4WD,Metropolitana de Santiago,Santiago,Bencina,5,Negro,5,2.0,"15,2 km/l",4
131,76.000 kms,$ 5.700.000,2011,automático,2011 Subaru XV XV 2.0 AT 4WD,Maule,Curico,Bencina,5,Gris grafito,,, km/l,
132,76.000 kms,$ 5.700.000,2011,automático,2011 Subaru XV XV 2.0 AT 4WD,Maule,Curico,Bencina,5,Gris grafito,,, km/l,
133,98.000 kms,$ 6.590.000,2011,manual,2011 Subaru XV AWD 2.0R,Metropolitana de Santiago,Santiago,Bencina,5,GRIS OSCURO,,, km/l,
134,74.100 kms,$ 10.290.000,2016,manual,2016 Subaru XV 1.6i 4WD,Los Lagos,Osorno,Bencina,5,GRIS PLATA,5,1.6,"15,9 km/l",4
135,85.000 kms,$ 10.750.000,2013,automático,2013 Subaru XV 2.0i CVT Limited 4WD,Bío Bío,Concepcion,Bencina,5,blanco,5,2.0,"15,2 km/l",4
136,15.600 kms,$ 10.800.000,2014,manual,2014 Subaru XV 2.0i 4WD,Coquimbo,La Serena,Bencina,5,plata,5,2.0,"14,5 km/l",4
137,85.000 kms,$ 8.300.000,2012,manual,2012 Subaru XV 2.0i AWD,Bío Bío,Chillán,Bencina,5,rojo perlado,5,2.0,"14,5 km/l",4
138,7.200 kms,$ 14.500.000,2017,automático,2017 Subaru XV 2.0i CVT Auto Dynamic Active 4WD,Bío Bío,Chillán,Bencina,5,Azul perlado,,, km/l,
139,78.000 kms,$ 10.500.000,2015,automático,2015 Subaru XV 2.0i CVT Dynamic 4WD,Bío Bío,Concepcion,Bencina,5,,5,2.0,"13,5 km/l",4
140,73.800 kms,$ 10.800.000,2014,manual,2014 Subaru XV 2.0i 4WD,Bío Bío,Huépil,Bencina,5,,5,2.0,"14,5 km/l",4
141,44.000 kms,$ 12.600.000,2016,manual,2016 Subaru XV 2.0i 4WD,Bío Bío,Los Angeles,Bencina,5,AZUL PERLADO,5,2.0,"13,2 km/l",4
142,70.000 kms,$ 9.000.000,2013,automático,2013 Subaru XV 2.0i CVT 4WD,Metropolitana de Santiago,Santiago,Bencina,5,,5,2.0,"15,2 km/l",4
143,57.000 kms,$ 12.500.000,2015,automático,2015 Subaru XV 2.0i CVT Limited 4WD,Metropolitana de Santiago,Santiago,Bencina,5,gris,5,2.0,"13,5 km/l",4
144,22.000 kms,$ 11.650.000,2016,manual,2016 Subaru XV 2.0i 4WD,Metropolitana de Santiago,Santiago,Bencina,5,azul cuarzo,5,2.0,"13,2 km/l",4
145,103.000 kms,$ 8.490.000,2014,automático,2014 Subaru XV 2.0i CVT Dynamic 4WD,Metropolitana de Santiago,Santiago,Bencina,5,NARANJO,5,2.0,"15,2 km/l",4
146,45.000 kms,$ 12.900.000,2016,automático,2016 Subaru XV 2.0 limited maximo mantencione,Metropolitana de Santiago,Santiago,Bencina,5,GRIS,,, km/l,
147,72.000 kms,$ 9.000.000,2012,manual,2012 Subaru XV 2.0i AWD,Metropolitana de Santiago,Santiago,Bencina,5,,5,2.0,"14,5 km/l",4
148,116.500 kms,$ 8.300.000,2013,automático,2013 Subaru XV 2.0i CVT Limited 4WD,Los Lagos,Puerto Varas,Bencina,5,blanco ,,, km/l,
