,Región,Consumo de combustible (combinado),Ciudad,Kilometraje,Color Exterior,Transmisión,Vehículo,Combustible,Anho,Precio,Puertas,Litros (motor),Cilindros,Pasajeros
141,Metropolitana de Santiago,0 km/l,Santiago,,GRIS,automático,2010 Subaru LEGACY 2.0I 4P AWD CVT X,Bencina,2010,$ 6.780.000,4,2,4,5
142,Metropolitana de Santiago, km/l,Santiago,,Plata,automático,2005 Subaru LEGACY 2.0 AWD AT,Bencina,2005,$ 3.880.000,4,,,
143,Metropolitana de Santiago,0 km/l,Santiago,55.000 kms,,automático,2016 Subaru LEGACY 2.5I CVT Premium 4WD,Bencina,2016,$ 9.990.000,4,2.5,4,5
144,Valparaíso,"12,3 km/l",Viña del Mar,76.000 kms,PLATA,automático,2012 Subaru LEGACY 2.0I 4P CVT XS 4WD,Bencina,2012,$ 7.490.000,4,2.0,4,5
145,Metropolitana de Santiago,0 km/l,Santiago,165.000 kms,gris grafito,automático,2010 Subaru LEGACY 2.0I 4P AWD CVT XS,Bencina,2010,$ 6.480.000,4,2,4,5
146,Metropolitana de Santiago, km/l,Santiago,165.000 kms,Plata,automático,2006 Subaru LEGACY 2.5i AWD,Bencina,2006,$ 4.500.000,4,,,
147,Los Ríos, km/l,Valdivia,111.000 kms,Gris Grafito,automático,2010 Subaru LEGACY 2.01 AWD XS AUT,Bencina,2010,$ 7.700.000,5,,,
148,Metropolitana de Santiago,"12,3 km/l",Santiago,160.000 kms,Gris grafito,automático,2012 Subaru LEGACY 2.0I 4P AWD CVT XS,Bencina,2012,$ 6.800.000,4,2.0,4,5
149,Valparaíso, km/l,Algarrobo,200.000 kms,,automático,1998 Subaru LEGACY 2.5 GT AWD AUTO TOURING,Bencina,1998,$ 2.800.000,5,,,
150,OHiggins, km/l,San Fernando,240.000 kms,azul,manual,1994 Subaru LEGACY gl,Bencina,1994,$ 1.450.000,5,,,
151,Maule, km/l,Curico,,Rojo metalico,automático,1993 Subaru LEGACY Gt,Bencina,1993,$ 1.300.000,5,,,
152,Metropolitana de Santiago, km/l,Santiago,188.888 kms,,automático,2007 Subaru LEGACY 2.0R 4D AT AWD XA,Bencina,2007,$ 3.900.000,5,,,
153,Metropolitana de Santiago, km/l,Santiago,,Azul oscuro,manual,1995 Subaru LEGACY LX,Bencina,1995,$ 1.490.000,5,,,
154,Maule,0 km/l,Linares,390.000 kms,,manual,1998 Subaru LEGACY 2.0 GL,Bencina,1998,$ 1.000.000,5,2,4,5
